APT,DRIV_DIST,DRIV_TIME,WALK_DIST,WALK_TIME,BIKE_DIST,BIKE_TIME
Royal York,1385,366,1364,1006,1385,371
Oakland Apartments,943,267,943,736,943,263
Oak Hill Apartments,2869,635,2432,1870,3105,678
Wendover Apartments,2005,265,1806,1320,2005,396
Morrowfield Apartments,2770,392,2790,2084,2770,660
Maxon Towers Apartments,2079,333,2079,1466,2079,377
Hobart Court Apartments,2005,265,1806,1320,2005,396
Hempstead Properties,5639,798,4625,3609,4747,1375
Forbes Terrace Apartments,1611,225,1611,1134,1611,306
The Gateway at Summerset Apartments,4883,702,4887,3769,4912,1362
Walnut on Wightman Apartments,3940,586,3940,3084,3940,1204
Beacon Commons Apartments,1874,225,1874,1309,1874,338
Walnut on the Park Apartments,2457,359,2457,1823,2723,628
Phillips Ave Apartments,2425,336,2400,1757,2400,558
Walnut Towers at Frick Park Apartments,3940,586,3940,3084,3940,1204
2552 Beechwood Blvd,3527,466,3270,2399,3362,789
1663 Beechwood Blvd,2455,313,2370,1699,2370,472
934 Kennebec St,3607,528,3534,2867,3572,843
5712 Solway St,1347,207,1347,917,1363,259
1530 Overton Ln,5005,717,4779,3717,4803,1370
780 Hazelwood Ave,4047,409,3917,3161,3956,921
6618 Dalzell Pl,2462,395,2462,1734,2462,522
5954 Phillips Ave,2835,376,2670,1955,2670,657
6319 Monitor St,3388,489,3384,2559,3384,870
2279 Shady Ave,2965,389,2801,2072,2801,712
4016 Murray Ave,3202,448,3222,2432,3202,775
2357 Tilbury Ave,3137,425,2972,2201,2972,725
788 Hazelwood Ave,4019,406,3889,3140,3928,917
5622 Beacon St,1808,217,1808,1268,1808,330
90 Lilac St,3513,500,3533,2653,3513,857
6623 Dalzell Pl,2475,398,2475,1743,2475,526
5611 Darlington Rd,2168,369,1484,1035,1653,365
4106 Saline St,3578,523,3491,2654,3574,975
2607 Shady Ave,2844,440,2844,2101,2844,672
6353 Ebdy St,3542,554,3538,2668,3538,915
5856 Alderson St #245,3135,501,2979,2205,3135,751
5839 Darlington Rd #14,2271,406,1966,1384,2271,476
5807 Bartlett St #346,1968,327,1968,1388,1968,385
1005 Parkview Blvd #A,4272,602,4069,3145,4069,1163
6350 Forward Ave #15,2990,460,2990,2194,2990,688
1400 Severn St #2,2011,328,2011,1429,2011,470
3518 Beechwood Blvd #2,3543,496,3535,2674,3621,886
5860 Forward Ave #5,2783,418,2783,2062,2783,663
5624 Beacon St #1,1814,218,1814,1271,1814,331
2421 Beechwood Blvd #2421A,2998,500,2998,2173,2998,711
906 Greenfield Ave #2,3343,327,3213,2622,3252,730
6535 Dalzell Pl #3,2329,358,2329,1630,2329,494
3234 Beechwood Blvd,4775,640,4371,3250,4475,1073
4159 Windsor St,3562,516,3603,2697,3603,868
3459 Beechwood Blvd,3765,527,3758,2822,3764,917
2608 Shady Ave,2855,442,2855,2109,2855,674
1303 Denniston St,1943,283,1943,1367,1943,420
5922 Douglas St,2635,498,2554,1842,2635,567
764 Hazelwood Ave #2,4083,583,3960,3191,3999,928
2421 Beechwood Blvd #C,2998,500,2998,2173,3265,762
6212 Monitor St,3413,495,3426,2612,3409,914
